Drug Name,Drug ID,Cell Line Name,Cosmic ID,TCGA Classification,Tissue,Tissue Sub-type,IC50,AUC,Max Conc,RMSE,Z score,Dataset Version
Cisplatin,1005,D-263MG,946368,GBM,nervous_system,glioma,2.820583504,0.923851859,6.0,0.07040122,-0.218170774,GDSC2
Cisplatin,1005,D-392MG,946370,GBM,nervous_system,glioma,4.083509824,0.953108821,6.0,0.073503554,0.467437959,GDSC2
Cisplatin,1005,M059J,949094,GBM,nervous_system,glioma,2.354503818,0.889217593,6.0,0.063619395,-0.471192901,GDSC2
Cisplatin,1005,LN-18,1240168,GBM,nervous_system,glioma,3.648662834,0.963116484,6.0,0.079075593,0.231371223,GDSC2
Cisplatin,1005,LN-229,1240169,GBM,nervous_system,glioma,5.679822768,0.986789764,6.0,0.067979379,1.334033325,GDSC2
Cisplatin,1005,LNZTA3WT4,1240170,GBM,nervous_system,glioma,2.373671508,0.924116776,4.0,0.086212695,-0.460787278,GDSC2
Cisplatin,1005,GRANTA-519,1303897,DLBC,blood,B_cell_lymphoma,1.281242198,0.838283885,6.0,0.082629513,-1.05383777,GDSC2
Cisplatin,1005,JSC-1,1327769,DLBC,blood,B_cell_lymphoma,1.332565077,0.872206511,6.0,0.083045484,-1.025975959,GDSC2
Cisplatin,1005,KARPAS-1106P,1327773,DLBC,blood,B_cell_lymphoma,2.186807081,0.935282101,6.0,0.06713757,-0.562230949,GDSC2
Cisplatin,1005,RC-K8,1330995,DLBC,blood,B_cell_lymphoma,2.819439233,0.933150717,6.0,0.089865225,-0.218791968,GDSC2
Cisplatin,1005,SLVL,1331032,DLBC,blood,B_cell_lymphoma,0.558009676,0.784649947,6.0,0.162829436,-1.446461255,GDSC2
Cisplatin,1005,SU-DHL-10,1331033,DLBC,blood,B_cell_lymphoma,1.514777313,0.916880219,6.0,0.142920352,-0.927057836,GDSC2
Cisplatin,1005,SU-DHL-5,1331036,DLBC,blood,B_cell_lymphoma,0.386938597,0.803658855,6.0,0.097482659,-1.539331143,GDSC2
Cisplatin,1005,SU-DHL-6,1331037,DLBC,blood,B_cell_lymphoma,2.458698167,0.968772815,6.0,0.058154293,-0.414628591,GDSC2
Cisplatin,1005,SU-DHL-8,1331038,DLBC,blood,B_cell_lymphoma,0.842617742,0.85270759,6.0,0.08059799,-1.29195519,GDSC2
Cisplatin,1005,TK,1331045,DLBC,blood,B_cell_lymphoma,2.658310091,0.96666859,6.0,0.065741258,-0.306264646,GDSC2
Cisplatin,1005,VAL,1331048,DLBC,blood,B_cell_lymphoma,0.575816784,0.787993537,6.0,0.096372145,-1.436794255,GDSC2
Cisplatin,1005,WSU-DLCL2,1331050,DLBC,blood,B_cell_lymphoma,1.211915432,0.877559097,6.0,0.106228968,-1.091473406,GDSC2
Cytarabine,1006,42-MG-BA,687561,GBM,nervous_system,glioma,1.030264819,0.894981483,2.0,0.066510326,-0.230204652,GDSC2
Cytarabine,1006,8-MG-BA,687562,GBM,nervous_system,glioma,-0.454249175,0.786532302,2.0,0.067733214,-0.882900539,GDSC2
Cytarabine,1006,A172,687563,GBM,nervous_system,glioma,1.020885349,0.881018799,2.0,0.071178984,-0.23432852,GDSC2
Cytarabine,1006,GB-1,687568,GBM,nervous_system,glioma,2.875350631,0.937788506,2.0,0.087196077,0.581023755,GDSC2
